id,target
0,0
2,1
3,0
9,1
11,0
12,0
21,0
22,0
27,0
29,0
30,1
35,0
42,0
43,0
45,0
46,0
47,0
51,0
58,0
60,0
69,0
70,1
72,0
75,0
84,0
87,0
88,0
90,1
94,0
99,0
101,0
103,0
106,0
108,0
111,0
115,0
116,0
122,0
123,0
124,0
125,1
127,0
140,0
142,0
147,0
148,0
150,0
152,1
154,1
155,0
166,0
167,0
169,0
177,1
179,0
181,0
186,0
188,0
189,0
192,0
200,0
202,0
206,0
207,1
214,0
217,0
223,1
224,0
227,1
228,1
230,0
233,0
234,0
236,0
239,0
250,0
255,0
257,0
259,0
275,0
278,1
282,0
284,0
286,0
288,0
292,0
295,0
300,0
304,0
305,0
306,0
308,0
311,0
317,0
319,0
323,0
324,0
325,0
326,0
333,0
339,0
342,0
343,0
350,1
351,0
357,0
359,0
362,0
366,0
367,0
369,0
373,0
374,0
376,0
377,0
378,0
379,1
382,0
385,0
387,0
388,0
391,0
392,0
395,0
399,0
400,0
403,1
405,0
408,1
411,1
414,1
416,1
417,0
422,0
425,1
428,0
430,1
431,0
433,0
434,1
439,0
441,1
449,0
458,0
460,0
464,1
473,0
488,1
491,0
494,0
497,0
500,0
505,0
507,1
508,0
510,0
511,0
515,0
525,0
529,0
532,0
534,0
537,1
539,0
541,0
545,0
547,0
548,0
549,0
553,0
554,0
555,0
557,0
562,1
566,0
572,0
573,0
582,0
586,0
587,0
590,0
591,0
593,0
595,0
596,0
597,0
601,0
602,1
605,0
610,1
616,0
618,0
620,0
626,1
627,0
629,0
632,0
634,1
639,0
645,0
647,0
648,1
650,0
663,0
666,0
668,0
670,0
673,0
676,1
678,0
692,0
693,0
694,1
695,0
696,0
698,0
701,1
703,1
707,1
708,0
711,1
715,1
718,0
722,0
723,0
733,1
741,0
742,1
743,0
747,0
749,0
750,0
756,0
757,0
760,0
764,0
765,0
766,0
768,0
769,0
771,1
772,0
776,1
778,0
780,0
785,0
789,0
792,0
793,0
811,0
813,0
816,0
821,0
824,0
825,1
827,0
830,1
831,0
839,1
844,0
847,0
850,0
854,1
855,0
858,0
861,0
862,0
865,0
869,1
879,0
880,1
887,1
889,0
897,0
900,0
901,0
904,0
908,0
909,0
910,0
913,0
914,0
917,1
918,0
920,0
922,1
924,1
925,0
927,0
933,0
937,1
943,0
949,0
950,1
954,0
966,0
967,1
969,0
970,1
973,1
975,1
980,0
988,1
989,1
995,0
1000,0
1003,0
1007,0
1011,0
1012,0
1013,0
1014,0
1016,0
1019,0
1025,0
1027,0
1028,0
1030,0
1033,0
1034,0
1039,0
1046,0
1047,1
1053,0
1055,0
1056,0
1059,0
1060,0
1063,0
1064,0
1068,0
1076,0
1086,0
1087,0
1089,0
1092,0
1095,1
1096,0
1097,1
1100,0
1101,0
1107,0
1108,0
1111,0
1115,0
1116,0
1121,0
1125,0
1127,0
1131,1
1133,0
1135,1
1137,0
1140,0
1144,0
1147,0
1148,0
1150,0
1158,0
1159,0
1161,0
1163,0
1165,0
1169,0
1171,0
1172,1
1176,0
1180,0
1184,0
1186,0
1187,0
1192,0
1193,0
1194,0
1197,0
1200,0
1205,0
1210,0
1216,0
1220,0
1231,0
1233,0
1246,0
1247,0
1248,0
1255,0
1256,0
1257,0
1258,0
1260,0
1261,0
1265,0
1266,0
1268,0
1274,0
1281,0
1285,0
1286,0
1291,1
1292,0
1295,1
1299,0
1306,0
1310,0
1311,0
1313,0
1314,0
1322,0
1323,0
1325,0
1329,1
1330,0
1333,0
1336,0
1339,0
1342,0
1344,0
1355,0
1357,0
1358,0
1359,0
1364,0
1366,0
1367,1
1370,0
1373,0
1377,0
1386,0
1387,1
1392,0
1397,0
1398,0
1400,0
1403,0
1404,0
1410,0
1413,0
1416,0
1417,1
1423,0
1424,0
1426,1
1427,0
1428,1
1430,1
1434,0
1435,0
1437,0
1438,0
1442,0
1446,0
1451,0
1457,0
1461,0
1462,0
1465,0
1468,0
1469,0
1471,0
1476,0
1478,0
1481,0
1489,0
1490,0
1492,0
1496,0
1512,0
1516,0
1517,0
1528,0
1529,0
1536,0
1539,0
1541,0
1542,0
1548,0
1550,0
1551,0
1552,0
1557,0
1563,0
1564,1
1565,0
1566,0
1571,0
1578,0
1581,1
1583,1
1584,0
1586,0
1589,1
1592,0
